date,strategy_1,strategy_2,strategy_3
2025-06-23,1082.4236614488943,1109.3211727492303,1422.7724563772094
2025-06-24,1095.7721075794698,1128.8961263842518,1455.9699094741086
2025-06-25,1091.7675800306024,1131.7278428620382,1457.0294333488782
2025-06-26,1094.1067448461276,1134.2104054168124,1465.559732308905
2025-06-27,1098.7727457573458,1134.5377186686799,1465.1936826277692
2025-06-30,1094.9272362513523,1131.9398577283757,1456.404622971594
2025-07-01,1099.0770819209918,1135.2878489300538,1441.6558458443667
2025-07-02,1097.9937889945559,1134.3976933608021,1455.0786765163348
2025-07-03,1105.733566360315,1147.39586054129,1475.760485076466
2025-07-04,1099.1529703273684,1139.2452918910126,1457.474418605679
2025-07-07,1101.6094799914486,1141.940381058485,1464.8685631987248
2025-07-08,1104.056959543866,1141.6508379406916,1473.0995417577685
2025-07-09,1106.2931493426584,1143.5810929595953,1477.7416613853443
2025-07-10,1113.6287786946614,1150.0590616246222,1503.761798654493
2025-07-11,1105.1185502081694,1144.7501876849958,1506.414467896598
2025-07-14,1105.3113361545938,1146.536576494435,1512.237614516836
2025-07-15,1105.9134158975553,1155.3506958801247,1520.612421122101
2025-07-16,1097.9735850173834,1147.4103614775443,1514.0226936706
2025-07-17,1112.3838365273627,1164.2597537543716,1541.3560965810466
2025-07-18,1110.4229270584342,1163.4919245622352,1541.0263285453232
2025-07-21,1109.330071230803,1166.5250066190101,1547.659083827045
2025-07-22,1107.2389482358624,1159.1072270485006,1542.4930815247224
2025-07-23,1116.8369335141474,1165.8733793319668,1551.0919107053946
2025-07-24,1115.6646833217978,1167.9464816805773,1545.6212330773608
2025-07-25,1112.5196624859468,1163.113444275483,1536.9133175918994
2025-07-28,1117.2025986510494,1176.6925442018567,1556.7012343517306
2025-07-29,1119.79279884548,1180.9459258072452,1556.6179636619568
2025-07-30,1121.8485823792848,1186.9447676914026,1567.7174595795304
2025-07-31,1116.5607538072784,1179.7048278377035,1555.4568859836443
2025-08-01,1092.9074487578728,1147.1794610881907,1492.7750562969338
2025-08-04,1104.6537462466952,1161.4097994668339,1524.41855102172
2025-08-05,1106.0246921652983,1164.190836702271,1522.76252791388
2025-08-06,1104.0117048991774,1161.0778487857233,1522.9639826721032
2025-08-07,1108.6048474757486,1168.392300158997,1542.6027963505776
2025-08-08,1110.65753827191,1170.5559911873138,1540.8670203373147
2025-08-11,1112.063025002789,1175.520867445284,1548.8328340222356
2025-08-12,1114.8779545389546,1180.0023969836536,1559.7233179417672
2025-08-13,1123.8223421798484,1190.2947799862654,1594.3217052471036
2025-08-14,1122.7836174690906,1187.5480986227537,1564.2676369726403
2025-08-15,1121.4967507905244,1186.095226398956,1557.9989177605114
2025-08-18,1124.0071178226044,1191.6512131582322,1557.2026582217657
2025-08-19,1127.4447112880275,1189.3327202724327,1533.0996528790338
2025-08-20,1125.4910687111903,1184.980927006861,1515.8004474618956
2025-08-21,1127.5810368734685,1189.370500421622,1518.2090382225022
2025-08-22,1136.57611987228,1204.7178340255025,1561.0712155639421
2025-08-26,1128.725048671838,1207.1009267304858,1543.8014819626387
2025-08-27,1133.0696190321607,1203.0114340828814,1532.7102951909858
2025-08-28,1129.4694025116405,1207.7891769409332,1548.4472690964494
2025-08-29,1126.2475078583416,1204.8463022001447,1527.156387414047
2025-09-01,1126.6588835180733,1204.8175922830637,1528.6513753903798
2025-09-02,1117.9358774502439,1197.8820791788162,1517.4533558920098
2025-09-03,1121.5159995895538,1201.898269455405,1525.1801831538446
2025-09-04,1124.8776793419906,1197.890530192782,1517.2268332201527
2025-09-05,1125.1987780475786,1202.5942079034935,1529.465207441938
2025-09-08,1128.4806457900263,1208.0350452300802,1554.1430372674183
2025-09-09,1131.875046017109,1215.46360243215,1562.036023390796
2025-09-10,1132.373357293073,1220.4452590271749,1587.007326821948
2025-09-11,1135.5107485993963,1231.686369798944,1603.9876855233954
2025-09-12,1135.1261502212653,1229.9183192235191,1601.224732904659
2025-09-15,1135.4221720389833,1232.6920669521382,1611.1245065635112
2025-09-16,1125.1581179478878,1224.2796889847016,1610.3933459764082
2025-09-17,1130.599968819183,1234.9980250271017,1629.3272046369725
2025-09-18,1134.4233874484294,1236.371389672659,1782.0439783622066
2025-09-19,1133.0534293826518,1237.057093794424,1638.1002710776818
2025-09-22,1132.0241859940288,1237.9576832190444,1634.2392653569593
2025-09-23,1136.8352409148115,1241.7697926220844,1635.3297285718736
2025-09-24,1134.2309516346133,1242.6675214075972,1643.1547007949625
2025-09-25,1128.5690293367277,1240.9874108661177,1623.1438709151175
2025-09-26,1132.7048500138535,1236.2294219111766,1604.6243009075113
2025-09-29,1136.6475959386069,1248.14187104329,1639.8962370218221
2025-09-30,1138.033533147974,1247.2716815930178,1642.2446266555385
2025-10-01,1148.156183713759,1256.3488779721815,1673.6271908381123
2025-10-02,1151.1088456078273,1261.094599620041,1710.776504108962
2025-10-03,1156.1935557194747,1264.3386747572797,1725.0691336440955
2025-10-06,1158.930392880193,1268.8184248183943,1754.1373985652338
2025-10-07,1156.834204231707,1271.1030663388424,1721.804573949133
2025-10-08,1162.117046966345,1274.8793144366284,1742.3478192733887
2025-10-09,1159.6505225832113,1277.5977230939652,1735.6161732859769
2025-10-10,1141.7775779689905,1241.895163576453,1650.4486353348495
2025-10-13,1149.7666603187897,1264.8910605244648,1686.0499150117928
2025-10-14,1145.929634031716,1251.1608884836926,1653.4481926117323
2025-10-15,1154.4076922209322,1266.4991583709434,1656.439834573343
2025-10-16,1156.2176579711659,1266.8339828057542,1653.8694501506632
